linkID,Standard,German,English,FNameAbbr,ParentFirm,FirmNote
515,Wihelm Thiessens Farm,Wihelm Thiessens Farm,,,,
516,Wihelmsburger Bleiwerk,Wihelmsburger Bleiwerk,,,,
517,Wilhelmsburg Bahnhof,Wilhelmsburg Bahnhof,,,,
518,Winkler Factory,Winkler Factory,,,,
519,Wintershall AG Mineralölwerk,Wintershall AG Mineralölwerk,,,,
520,Worner,Worner,,,,
521,Wulfert GmbH,Wulfert GmbH,,,,
522,Württembergische Metallwarenfabrik,Württembergische Metallwarenfabrik,,,,
523,Wuste-Werk,Wuste-Werk,,,,
524,Zeiss-Ikon AG Goehle-Werk,Zeiss-Ikon AG Goehle-Werk,,,532.0,
525,Zeiss-Ikon AG Reick,Zeiss-Ikon AG Reick,,,532.0,
526,Zellulose- und Zellwolle AG,Zellulose- und Zellwolle AG,,,,
527,Zellwolle- und Papierfabrik Lenzing,Zellwolle- und Papierfabrik Lenzing,,,,
528,Zieleniewski Works,Zieleniewski Works,,,,
529,Zimke,Zimke,,,,
530,Zuckerfabrik Uelzen AG,Zuckerfabrik Uelzen AG,,,,
531,Zweigwerk Hohwacht,Zweigwerk Hohwacht,,,,
532,"Zeiss-Ikon AG
Deutsche Wirtschaftsbetriebe GmbH
Deutsche Reichsbahn
Schlesische Zellwolle AG
Polte Company
Leipzig Pitter-Werkzeugmaschinenbau Concern
Flick Company","Zeiss-Ikon AG
Deutsche Wirtschaftsbetriebe GmbH
Deutsche Reichsbahn
Schlesische Zellwolle AG
Polte Company
Leipzig Pitter-Werkzeugmaschinenbau Concern
Flick Company",,,,
533,Deutsche Wirtschaftsbetriebe GmbH,Deutsche Wirtschaftsbetriebe GmbH,,,,
534,Deutsche Reichsbahn,Deutsche Reichsbahn,,,,
535,Schlesische Zellwolle AG,Schlesische Zellwolle AG,,,,
536,Polte Company,Polte Company,,,,
537,Leipzig Pitter-Werkzeugmaschinenbau Concern,Leipzig Pitter-Werkzeugmaschinenbau Concern,,,,
538,Flick Company,Flick Company,,,,
